adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,"[28, 80, 53]",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",542.059,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,5/17/2023,Fast X,FALSE,7.2,4557
FALSE,/9jPoyxjiEYPylUIMI3Ntixf8z3M.jpg,"[16, 12, 35, 10751]",520758,en,Chicken Run: Dawn of the Nugget,A band of fearless chickens flock together to save poultry-kind from an unsettling new threat: a nearby farm that's cooking up something suspicious.,543.396,/exNtEY8QUuQh9e23wSQjkPxKIU3.jpg,12/8/2023,Chicken Run: Dawn of the Nugget,FALSE,7.4,317
FALSE,/k1KrbaCMACQiq7EA0Yhw3bdzMv7.jpg,"[16, 10751, 10402, 14, 35]",901362,en,Trolls Band Together,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",553.857,/bkpPTZUdq31UGDovmszsg2CchiI.jpg,10/12/2023,Trolls Band Together,FALSE,7.2,429
FALSE,/t5zCBSB5xMDKcDqe91qahCOUYVV.jpg,"[27, 9648]",507089,en,Five Nights at Freddy's,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",485.924,/7BpNtNfxuocYEVREzVMO75hso1l.jpg,10/25/2023,Five Nights at Freddy's,FALSE,7.8,2980
FALSE,/9PqD3wSIjntyJDBzMNuxuKHwpUD.jpg,"[16, 35, 10751]",1075794,en,Leo,"Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.",496.56,/pD6sL4vntUOXHmuvJPPZAgvyfd9.jpg,11/17/2023,Leo,FALSE,7.6,688
FALSE,/nHf61UzkfFno5X1ofIhugCPus2R.jpg,"[35, 12, 14]",346698,en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",484.672,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,7/19/2023,Barbie,FALSE,7.2,6553
FALSE,/rMvPXy8PUjj1o8o1pzgQbdNCsvj.jpg,"[28, 12, 53]",299054,en,Expend4bles,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",432.639,/iwsMu0ehRPbtaSxqiaUDQB9qMWT.jpg,9/15/2023,Expend4bles,FALSE,6.4,941
FALSE,/tLsc8SCFO0rMVgVyNm9XtfnyX84.jpg,"[18, 9648, 53, 878]",726209,en,Leave the World Behind,A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices—and two strangers appear at their door.,444.742,/5o0zzKBRHE9to6g9tYweP54WJa2.jpg,11/22/2023,Leave the World Behind,FALSE,6.5,1246
FALSE,/2vFuG6bWGyQUzYS9d69E5l85nIz.jpg,"[28, 12, 878]",667538,en,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",389.682,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,6/6/2023,Transformers: Rise of the Beasts,FALSE,7.4,3780
FALSE,/ptz5ETMxDoRRiE69BVuIxJzyTEO.jpg,"[16, 35, 12, 10751, 28]",940551,en,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",418.65,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,12/6/2023,Migration,FALSE,7.3,61
FALSE,/bg66dvmJg3ReDzfppT748SIJRmw.jpg,[27],1131755,en,A Creature Was Stirring,A nurse taking care of her daughter's mysterious affliction struggles to hide her secrets when uninvited strangers take shelter in her house during a lethal blizzard.,317.134,/ikQG3byEFyfwcnF0zmyNtXTmr5v.jpg,12/8/2023,A Creature Was Stirring,FALSE,4.4,8
FALSE,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,"[16, 10751, 12, 14, 35]",502356,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",416.511,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,4/5/2023,The Super Mario Bros. Movie,FALSE,7.7,7578
FALSE,/h56edmERPTkey89SqyKu4hINVNy.jpg,"[28, 53]",575264,en,Mission: Impossible - Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",380.057,/NNxYkU70HPurnNCSiCjYAmacwm.jpg,7/8/2023,Mission: Impossible - Dead Reckoning Part One,FALSE,7.6,2769
FALSE,/ehumsuIBbgAe1hg343oszCLrAfI.jpg,"[16, 10751, 14, 12]",1022796,en,Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",342.376,/8QtDhh8mnGUEyrJsaeb3kYgDRaA.jpg,11/13/2023,Wish,FALSE,6.5,186
FALSE,/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,"[28, 878, 27]",615656,en,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,357.774,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,8/2/2023,Meg 2: The Trench,FALSE,6.7,2733
FALSE,/bWIIWhnaoWx3FTVXv6GkYDv3djL.jpg,"[878, 27, 28]",940721,ja,ゴジラ-1.0,"In postwar Japan, a new terror rises. Will the devastated people be able to survive... let alone fight back?",415.158,/hkxxMIGaiCTmrEArK7J56JTKUlB.jpg,11/3/2023,Godzilla Minus One,FALSE,8.1,198
FALSE,/4fLZUr1e65hKPPVw0R3PmKFKxj1.jpg,"[16, 35, 10751, 14, 10749]",976573,en,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",392.835,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg,6/14/2023,Elemental,FALSE,7.7,3306
FALSE,/ufR7C4AtkqS0INda0qBICpupOxy.jpg,"[28, 53, 18]",982932,en,Shrapnel,A former Marine and his old war buddy face off against the Mexican cartel behind the disappearance of his daughter.,257.367,/gsRDrAML7hJC8ZCgRQobHIrzbxR.jpg,7/28/2023,Shrapnel,FALSE,6,19
FALSE,/X8yF6STUk5Zr5nAuLBJiio8Sxh.jpg,"[18, 10749]",1143183,tl,Rewind,"Mary (Marian Rivera) loves John (Dingdong Dantes) for as long as she can remember. But after years of marriage, John's priorities shift, leading to a strained relationship with Mary, which causes a tragic accident that takes away Mary's life. Until one day, John gets an extraordinary proposition - to rewind time and save the life of the woman he loves.",493.072,/vW80VheMJhHsj0pDVYJL3qAMWMd.jpg,12/25/2023,Rewind,FALSE,0,0
FALSE,/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg,"[16, 28, 12, 878]",569094,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",354.512,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,5/31/2023,Spider-Man: Across the Spider-Verse,FALSE,8.4,5319
FALSE,/dyA6hSkM0rOIOjIAXHPXTiQ0wxO.jpg,"[28, 35, 80]",1189927,es,El duelo,,351.006,/nFjcIyURaXrU4WWRN7obbipFQGy.jpg,10/12/2023,El duelo,FALSE,8.5,0
FALSE,/tC78Pck2YCsUAtEdZwuHYUFYtOj.jpg,"[28, 53, 80]",926393,en,The Equalizer 3,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",324.466,/b0Ej6fnXAP8fK75hlyi2jKqdhHz.jpg,8/30/2023,The Equalizer 3,FALSE,7.4,1976
FALSE,/pA3vdhadJPxF5GA1uo8OPTiNQDT.jpg,"[28, 18]",678512,en,Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",288.54,/qA5kPYZA7FkVvqcEfJRoOy4kpHg.jpg,7/3/2023,Sound of Freedom,FALSE,8.1,1666
FALSE,/pwvVS1AiRWLropqJ03i5ovynZhk.jpg,"[27, 53]",517929,en,Fog City,"A group of friends seal themselves inside a secluded Cape Cod vacation home after a mysterious orange fog leaks from an old nearby factory. Once trapped, they quickly learn there is no escape.",278.934,/isewxmxthIUrmPpGHQQlIuOid3s.jpg,10/20/2023,Fog City,FALSE,3,2
FALSE,/7I6VUdPj6tQECNHdviJkUHD2u89.jpg,"[28, 53, 80]",603692,en,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",342.984,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,3/22/2023,John Wick: Chapter 4,FALSE,7.8,5244
FALSE,/feSiISwgEpVzR1v3zv2n2AU4ANJ.jpg,"[878, 12, 28]",609681,en,The Marvels,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",311.3,/Ag3D9qXjhJ2FUkrlJ0Cv1pgxqYQ.jpg,11/8/2023,The Marvels,FALSE,6.5,746
FALSE,/tB59fpPnQITgnfxPfMf2gxASTeC.jpg,"[28, 53, 18]",656156,ko,보호자,"After 10 years of incarceration on behalf of his employer, all Su-hyuk wants is a normal life - one he hopes will include his former girlfriend, Min-seo, and their daughter, In-bi. But once you've penetrated the upper echelons of the underworld, normal can prove hard to come by. Sometime in the past decade, meanwhile, Su-hyuk's employer has adopted an air of legitimacy. These days, the old gang steal and murder in the name of urban development. And they want the reluctant Su-hyuk on board.",273.586,/ePwZs1oOh4pg8UZP8DuVZZeIn89.jpg,8/15/2023,A Man of Reason,FALSE,6.5,33
FALSE,/uSUjIzqKyebAd2wqDyb11Ya4wch.jpg,"[28, 10752]",1062482,en,Condor's Nest,American war veteran Will Spalding has tracked the sadistic Nazi Colonel who executed his bomber crew during WWII to a remote location in South America. But he is in for more than he bargained for when he uncovers a secret Nazi headquarters known as the Condor's Nest.,399.389,/aBAsCMzsbGlFtQFqeWsKWM6hvOE.jpg,1/27/2023,Condor's Nest,FALSE,5.4,12
FALSE,/xFYpUmB01nswPgbzi8EOCT1ZYFu.jpg,"[12, 28, 18]",980489,en,Gran Turismo,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,266.131,/51tqzRtKMMZEYUpSYkrUE7v9ehm.jpg,8/9/2023,Gran Turismo,FALSE,8,1682
FALSE,/3d39m2S3WynknLVGpsOxhiSKbgQ.jpg,"[53, 28]",1146225,en,Escaping Paradise,"When a young couple vacations on an exotic island, they encounter a dangerous fugitive who is determined to keep them from leaving.",210.199,/3UCTls0hVKMCwWtkTmwKcCOzlgu.jpg,7/8/2023,Escaping Paradise,FALSE,4.7,3
FALSE,/pLm9j7o5InoWaG2tlaQABYR2cAx.jpg,"[27, 9648, 53]",968051,en,The Nun II,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",234.985,/5gzzkR7y3hnY8AD1wXjCnVlHba5.jpg,9/6/2023,The Nun II,FALSE,6.9,1562
FALSE,/lntyt4OVDbcxA1l7LtwITbrD3FI.jpg,"[18, 10749]",1010581,es,Culpa mía,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",264.849,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,6/8/2023,My Fault,FALSE,8.1,2060
FALSE,/ixZzr4PyM2TPs5fka3IJj058WYo.jpg,"[28, 878, 12]",565770,en,Blue Beetle,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",282.459,/mXLOHHc1Zeuwsl4xYKjKh2280oL.jpg,8/16/2023,Blue Beetle,FALSE,6.9,1941
FALSE,/rb3QQ2TQfJoCpCZlfXBlBbzYy1D.jpg,"[53, 28]",844416,en,Rumble Through the Dark,"Set in the dark landscape of the Mississippi Delta, where a former bare-knuckle fighter must win one last fight to pay off his debts to the local mob boss and save his childhood home—the stakes nothing less than life or death.",232.66,/19UbYIT9WEQS5qSD3BREDxVXk8g.jpg,11/3/2023,Rumble Through the Dark,FALSE,6.6,28
FALSE,/1bI74dmPkYrbb2GFMBjxkqKXDVi.jpg,[27],1033667,zh,粽邪3：鬼門開,"Aspiring to become a parkour influencer, a gifted young man from an exorcist family gets caught up in a swirl of spooky events at an eerie hotel.",204.855,/ocb5sGHk00Kw30qxdNJGfqvKWnl.jpg,8/25/2023,The Rope Curse 3,FALSE,4.8,9
FALSE,/yF1eOkaYvwiORauRCPWznV9xVvi.jpg,"[28, 12, 878]",298618,en,The Flash,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",263.933,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,6/13/2023,The Flash,FALSE,6.8,3400
FALSE,/dZbLqRjjiiNCpTYzhzL2NMvz4J0.jpg,"[27, 53]",951491,en,Saw X,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",266.707,/aQPeznSu7XDTrrdCtT5eLiu52Yu.jpg,9/26/2023,Saw X,FALSE,7.4,1320
FALSE,/AprNYUAS2AJ3xVgg7Wwt00GVvsM.jpg,"[16, 10751, 28, 878, 35, 18, 12]",893723,en,PAW Patrol: The Mighty Movie,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",241.069,/aTvePCU7exLepwg5hWySjwxojQK.jpg,9/21/2023,PAW Patrol: The Mighty Movie,FALSE,6.9,192
FALSE,/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg,"[28, 53, 80]",762430,en,Retribution,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.",231.279,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg,8/23/2023,Retribution,FALSE,6.9,775
FALSE,/35z8hWuzfFUZQaYog8E9LsXW3iI.jpg,"[12, 28]",335977,en,Indiana Jones and the Dial of Destiny,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",256.536,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,6/28/2023,Indiana Jones and the Dial of Destiny,FALSE,6.7,2445
FALSE,/biRLtgt3t8MwxeLRRJkf1BsHoeq.jpg,"[28, 53]",1060090,en,The Collective,"A group of righteous assassins called The Collective take aim at a highly sophisticated human trafficking ring backed by a network of untouchable billionaires. With their backs against the wall, The Collective has no choice but to put their most important mission in the hands of rookie assassin, Sam Alexander.",220.083,/Ah9H6Sj434nJiZpTPQrovHaEePV.jpg,8/4/2023,The Collective,FALSE,5.9,58
FALSE,/8g9ZdvHX6jszRY71aVtpRUmHQzJ.jpg,"[18, 53]",958182,es,Heroico,"Luis, an 18-year-old boy with Indigenous roots, enters the Heroic Military College in hopes of ensuring a better future. There, he encounters a rigid and institutionally violent system designed to turn him into a perfect soldier.",223.475,/tRD18JW9iKqmwkQKvzPYDQetRoI.jpg,9/21/2023,Heroic,FALSE,7.6,77
FALSE,/f1AQhx6ZfGhPZFTVKgxG91PhEYc.jpg,"[18, 36, 10752]",753342,en,Napoleon,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",231.755,/jE5o7y9K6pZtWNNMEw3IdpHuncR.jpg,11/22/2023,Napoleon,FALSE,6.4,842
FALSE,/k3VHSJzvAd40Rjx5jXeQeoEIdxh.jpg,"[27, 53]",1008042,en,Talk to Me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",245.418,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg,7/26/2023,Talk to Me,FALSE,7.2,1949
FALSE,/iaMIylLoN7Y3CvrA0pg2ZFKjk26.jpg,"[10752, 18, 28]",1047925,en,Come Out Fighting,"In WWII, a squad of U.S. African-American soldiers are sent on a rescue mission behind enemy lines to locate their lost commanding officer and a downed fighter pilot.",206.018,/sERwJxz0sqsbcUoTm66l9pI6HcH.jpg,5/19/2023,Come Out Fighting,FALSE,5.1,26
FALSE,/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg,"[878, 12, 28]",447365,en,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",241.512,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,5/3/2023,Guardians of the Galaxy Vol. 3,FALSE,8,5568
FALSE,/1Kqp15MtZED7IVXFxNy9jXlX6xd.jpg,"[27, 9648, 878]",1114205,ja,忌怪島／きかいじま,Mysterious deaths befall on employees of a VR-tech company. There's an unprecedented fear waiting between reality and the virtual world.,190.177,/5UA8qwDaCFCA2eyNafGZZQiKvSX.jpg,6/16/2023,Immersion,FALSE,6,5
FALSE,/uOvcyJ3XmUv4geypGvZBeZEFMO6.jpg,"[28, 80, 18]",945937,en,Fast Charlie,"When his aging mob boss is whacked, Charlie Swift, a loyal friend and hired gun, will stop at nothing to destroy the upcoming crew that took him out.",201.182,/3y72ffwYRUPOj4yOQbiTaN897Tm.jpg,12/8/2023,Fast Charlie,FALSE,6.3,50
FALSE,/rmfIhftLXpHEZzkLSpWQMZhirMJ.jpg,"[35, 14]",823482,en,Dream Scenario,"Hapless family man Paul Matthews finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. But when his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom.",232.689,/zhEaG0KQ32KerHEWmImsYLexDix.jpg,11/10/2023,Dream Scenario,FALSE,7,150
FALSE,/azD31DjpV3PJfjF3h72LVw2WCSD.jpg,[27],807172,en,The Exorcist: Believer,"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago.",204.086,/qVKirUdmoex8SdfUk8WDDWwrcCh.jpg,10/4/2023,The Exorcist: Believer,FALSE,6.2,695
FALSE,/cCIbJZVL3RQXp7CXohkAobhyNaw.jpg,[35],1172029,es,Sobreviviendo mis XV,"Quinceañeras, a magical age... except when your family wants to put you in a bulky dress and make you waltz in front of everyone, which is exactly what happens to Danae shortly after she transfers to a very proper private school.  Now Danae has to manage to balance the demands of her family, those of her new friends and organize a cool, but traditional, but modern, but emotional, but aesthetic, but also grandmother-pleasing Quinceañera party... without dying in the process.",198.059,/kr50u2w3G5L7RqLf6frFliJqPrZ.jpg,9/21/2023,Sobreviviendo mis XV,FALSE,7.5,55
FALSE,/xvzxqKWltnj6qSiWBXRq6ZCdcrw.jpg,"[53, 18]",1151534,es,Nowhere,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",194.626,/uldNFFKNXNvwss0MIZErMSFkBJZ.jpg,9/29/2023,Nowhere,FALSE,7.5,989
FALSE,/jkKVLzLWjSvTnc84VzeljhSy6j8.jpg,"[10749, 18]",820525,en,After Everything,"Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",180.231,/uQxjZGU6rxSPSMeAJPJQlmfV3ys.jpg,9/13/2023,After Everything,FALSE,7,608
